league,season,team,player,league_id,season_id,team_id,player_id,position,matches,minutes,goals,xg,np_goals,np_xg,assists,xa,shots,key_passes,yellow_cards,red_cards,xg_chain,xg_buildup
ENG-Premier League,1415,Arsenal,Aaron Ramsey,1,2014,83,504,M S,29,2013,6,6.636921921744943,6,6.636921921744943,6,5.299689516425133,63,47,6,0,16.720761343836784,8.166224587708712
ENG-Premier League,1415,Arsenal,Ainsley Maitland-Niles,1,2014,83,1750,S,1,1,0,0.0,0,0.0,0,0.0,0,0,0,0,0.0,0.0
ENG-Premier League,1415,Arsenal,Alex Oxlade-Chamberlain,1,2014,83,966,M S,23,1497,1,2.849110059440136,1,2.849110059440136,1,3.690096700564027,32,35,4,0,9.594994656741619,4.923702459782362
ENG-Premier League,1415,Arsenal,Alexis Sánchez,1,2014,83,498,F M S,35,2967,16,13.45174823794514,16,12.690581277944148,8,8.494180873036385,122,82,4,0,27.15757017582655,10.736756768077612
ENG-Premier League,1415,Arsenal,Calum Chambers,1,2014,83,508,D M S,23,1574,1,0.8142124898731709,1,0.8142124898731709,1,0.8842718033120036,7,11,7,1,3.6191986687481403,3.2758464943617582
ENG-Premier League,1415,Arsenal,Chuba Akpom,1,2014,83,1790,S,3,23,0,0.5139970183372498,0,0.5139970183372498,0,0.0,2,0,0,0,0.5139970183372498,0.0
ENG-Premier League,1415,Arsenal,Danny Welbeck,1,2014,83,501,F M S,27,1714,4,7.272420795634389,4,7.272420795634389,3,2.887719358317554,58,30,3,0,12.937735112383962,4.48967744410038
ENG-Premier League,1415,Arsenal,David Ospina,1,2014,83,505,GK,18,1620,0,0.0,0,0.0,0,0.04679640009999275,0,2,0,0,2.0648585204035044,2.018061827868223
ENG-Premier League,1415,Arsenal,Emiliano Martinez,1,2014,83,4401,GK S,4,299,0,0.0,0,0.0,0,0.0,0,0,0,0,0.4130877871066332,0.4130877871066332
ENG-Premier League,1415,Arsenal,Francis Coquelin,1,2014,83,497,M S,22,1667,0,0.08362239971756935,0,0.08362239971756935,0,0.18764719553291798,5,5,5,0,6.154337789863348,6.035231921821833
ENG-Premier League,1415,Arsenal,Gabriel,1,2014,83,493,D S,6,347,0,0.04296279884874821,0,0.04296279884874821,1,0.0274593997746706,2,1,0,0,0.8342673797160387,0.8342673797160387
ENG-Premier League,1415,Arsenal,Héctor Bellerín,1,2014,83,492,D S,20,1564,2,0.2796935010701418,2,0.2796935010701418,1,1.7710434943437576,5,12,5,0,6.440686859190464,5.210578402504325
ENG-Premier League,1415,Arsenal,Jack Wilshere,1,2014,83,1036,M S,14,739,2,2.419227445498109,2,2.419227445498109,1,1.4338918002322316,18,16,4,0,7.234426703304052,4.517601888626814
ENG-Premier League,1415,Arsenal,Joel Campbell,1,2014,83,506,S,4,34,0,0.0,0,0.0,0,0.08552379906177521,0,2,0,0,0.1540088001638651,0.13456200063228607
ENG-Premier League,1415,Arsenal,Kieran Gibbs,1,2014,83,545,D S,22,1657,0,1.0783994244411588,0,1.0783994244411588,3,1.8213013904169202,12,15,3,0,8.999918149784207,7.215284138917923
ENG-Premier League,1415,Arsenal,Laurent Koscielny,1,2014,83,494,D S,27,2289,3,1.2747428007423878,3,1.2747428007423878,0,0.1164884977042675,8,2,4,0,3.6892703929916024,3.6175703862681985
ENG-Premier League,1415,Arsenal,Lukas Podolski,1,2014,83,3871,S,7,83,0,0.9136223215609789,0,0.9136223215609789,0,0.35460198670625687,9,2,0,0,0.5932813864201307,0.11954280361533165
ENG-Premier League,1415,Arsenal,Mathieu Debuchy,1,2014,83,967,D,10,811,1,0.8225503079593182,1,0.8225503079593182,0,0.398188017308712,8,2,2,0,3.0027852542698383,2.842829305678606
