team_id,team,wins,draws,loses,scored,missed,xG,xGA,xpts,pts,npxG,npxGA,npxGD,ppda_att,ppda_def,deep,deep_allowed,season
71,Aston Villa,1,0,0,2,1,2.6703,2.8047,1.2989000000000002,3,2.6703,2.04353,0.62677,260.0,23.0,8,5,2024
72,Everton,0,0,1,0,3,0.405325,1.79083,0.30779999999999996,0,0.405325,1.79083,-1.385505,385.0,21.0,4,5,2024
73,Bournemouth,0,1,0,1,1,1.90915,1.24405,1.8944000000000003,1,1.90915,1.24405,0.6650999999999998,219.0,22.0,4,10,2024
74,Southampton,0,0,1,0,1,1.95483,0.433489,2.5586,0,1.95483,0.433489,1.521341,72.0,19.0,13,4,2024
75,Leicester,0,1,0,1,1,1.02614,1.40775,1.0574,1,1.02614,1.40775,-0.38161,331.0,16.0,2,21,2024
78,Crystal Palace,0,0,1,1,2,1.14757,1.38064,1.0974,0,1.14757,1.38064,-0.2330700000000001,224.0,29.0,4,1,2024
80,Chelsea,0,0,1,0,2,1.06123,1.18038,1.2353,0,1.06123,1.18038,-0.11915000000000009,312.0,31.0,8,10,2024
81,West Ham,0,0,1,1,2,2.8047,2.6703,1.4689999999999999,0,2.04353,2.6703,-0.62677,224.0,24.0,5,8,2024
82,Tottenham,0,1,0,1,1,1.40775,1.02614,1.6474999999999997,1,1.40775,1.02614,0.38161,159.0,29.0,21,2,2024
83,Arsenal,1,0,0,2,0,1.6283,0.575835,2.1894,3,1.6283,0.575835,1.0524650000000002,202.0,26.0,14,2,2024
86,Newcastle United,1,0,0,1,0,0.433489,1.95483,0.2774,3,0.433489,1.95483,-1.521341,325.0,20.0,4,13,2024
87,Liverpool,1,0,0,2,0,3.92906,0.342601,2.9562,3,3.92906,0.342601,3.586459,201.0,23.0,13,2,2024
88,Manchester City,1,0,0,2,0,1.18038,1.06123,1.4402,3,1.18038,1.06123,0.11915000000000009,256.0,17.0,10,8,2024
89,Manchester United,1,0,0,1,0,2.04268,0.418711,2.5696,3,2.04268,0.418711,1.6239689999999998,214.0,29.0,7,3,2024
220,Brighton,1,0,0,3,0,1.79083,0.405325,2.5286999999999997,3,1.79083,0.405325,1.385505,190.0,24.0,5,4,2024
228,Fulham,0,0,1,0,1,0.418711,2.04268,0.2815,0,0.418711,2.04268,-1.6239689999999998,260.0,24.0,3,7,2024
229,Wolverhampton Wanderers,0,0,1,0,2,0.575835,1.6283,0.5796,0,0.575835,1.6283,-1.0524650000000002,238.0,22.0,2,14,2024
244,Brentford,1,0,0,2,1,1.38064,1.14757,1.5885,3,1.38064,1.14757,0.2330700000000001,228.0,18.0,1,4,2024
249,Nottingham Forest,0,1,0,1,1,1.24405,1.90915,0.8518999999999999,1,1.24405,1.90915,-0.6650999999999998,225.0,26.0,10,4,2024
285,Ipswich,0,0,1,0,2,0.342601,3.92906,0.025799999999999997,0,0.342601,3.92906,-3.586459,338.0,18.0,2,13,2024
